Scenario;Replication;OrderFillRate;OrdersS1;OrdersS2;OrdersS3;AvarageLeadTime;AvarageQInStock;Costs;NumberBackordered
Scenario11;12;96,1538461538462;0;24;3;189,189611228481;533,522498849471;388500;2,1561870509631
Scenario11;13;93,3333333333333;0;25;4;185,114462709775;555,982481267662;420000;5,61744522938111
Scenario11;14;92,9824561403509;0;22;1;176,816513327048;546,387302281065;325500;2,20129944254592
Scenario11;15;97,6;0;25;1;177,619644174198;567,092276222821;367500;0,470237213647659
Scenario11;16;96,2686567164179;0;27;2;188,651720071969;557,618411484642;413000;2,84396023445519
Scenario11;17;96,5811965811966;0;23;1;180,123623053402;566,270589275705;339500;4,21138381537947
Scenario11;18;94,2446043165468;0;26;3;201,731438880763;530,402888036046;416500;11,8418034417984
Scenario11;19;99,2125984251969;0;26;0;179,47532956998;591,233002242198;364000;0,346177291519047
Scenario11;20;93,75;0;25;2;195,02932390454;541,565880588616;385000;10,6962170169018
Scenario11;21;99,1803278688525;0;25;1;168,620358861285;589,892052169728;367500;0,0418105547565961
Scenario11;22;90,7801418439716;0;26;3;195,76749769904;517,440149773286;416500;11,6315387149095
Scenario11;23;91,156462585034;0;26;5;191,553812400704;537,703892714373;451500;13,2564322167622
Scenario11;24;99,0566037735849;0;21;1;172,964162936972;562,625069377341;311500;0,137895544637598
Scenario11;25;97,5806451612903;0;25;1;170,51598001306;578,195520987141;367500;2,37334007976392
Scenario11;26;92,6829268292683;0;23;3;187,53227492322;543,638680879961;374500;6,45771051613691
Scenario11;27;93,6170212765958;0;27;3;185,618897089367;545,576726978665;430500;3,67169793251837
Scenario11;28;86,986301369863;0;25;6;199,484439323479;494,83096736501;455000;21,2373003340288
Scenario11;29;85,2941176470588;0;24;4;209,254017151043;502,493439439981;406000;22,800640922955
Scenario11;30;89,3333333333333;0;30;2;193,187169035166;507,663706223745;455000;8,25588247549042
Scenario11;31;93,3774834437086;0;27;5;179,737323620442;519,790340346723;465500;6,6717577392904
Scenario11;32;88,4057971014493;0;25;4;196,812167414896;528,345972483382;420000;16,1858631948087
Scenario11;33;93,4426229508197;0;24;2;187,443781871974;558,731075930059;357000;9,80690586766085
Scenario11;34;90,1234567901235;0;28;6;193,230957783047;523,96414799429;497000;11,5004793334186
Scenario11;35;90,9090909090909;0;25;5;190,754724119599;525,453077691653;437500;14,9706557803987
Scenario11;36;96,6386554621849;0;21;3;188,852551823902;557,384706138887;346500;1,40398000977337
Scenario11;37;95,5555555555556;0;25;3;180,988915913139;578,660310185355;402500;5,73164072513781
Scenario11;38;95,5882352941177;0;25;4;188,85594172538;519,334425006125;406000;3,71842144127195
Scenario11;39;95,1219512195122;0;27;8;195,488307524421;509,210065121688;518000;7,04538693769427
Scenario11;40;93,6507936507936;0;23;3;190,934825171509;577,625988738953;374500;16,9035135212806
Scenario11;41;91,1290322580645;0;25;1;189,394808279697;556,526829335172;367500;12,361628249412
Scenario11;42;92,6470588235294;0;25;4;185,23100805811;518,454896077704;406000;6,2555263981252
Scenario11;43;94,5578231292517;0;27;4;180,995264463072;576,032618940905;448000;4,8775524676642
Scenario11;44;95,5555555555556;0;26;2;176,038501008414;509,716745283551;399000;2,33206763940781
